date,price
2017.8.7,16465
2017.8.8,16405
2017.8.9,16020
2017.8.10,15855
2017.8.11,15285
2017.8.14,15545
2017.8.16,15720
2017.8.17,15910
2017.8.18,15865
2017.8.21,15810
2017.8.22,15955
2017.8.23,15960
2017.8.24,16100
2017.8.25,16135
2017.8.28,15955
2017.8.29,15860
2017.8.30,15970
2017.8.31,15785
2017.9.1,15755
2017.9.4,15425
2017.9.5,15390
2017.9.6,15320
2017.9.7,15705
2017.9.8,15725
2017.9.11,16000
2017.9.12,16015
2017.9.14,16155
2017.9.15,16300
2017.9.18,16820
2017.9.19,16795
2017.9.20,16790
2017.9.21,16795
2017.9.22,16585
2017.9.25,16575
2017.9.26,16405
2017.9.27,16340
2017.9.28,16375
2017.9.29,16605
2017.10.10,17205
2017.10.11,17520
2017.10.12,17750
2017.10.13,17715
2017.10.16,17805
2017.10.17,17860
2017.10.18,17830
2017.10.19,17685
2017.10.20,17865
2017.10.23,17955
2017.10.24,17940
2017.10.25,17930
2017.10.26,17700
2017.10.27,17925
2017.10.30,18015
2017.10.31,18405
2017.11.1,18965
2017.11.2,18860
2017.11.3,18960
2017.11.6,18790
2017.11.7,18745
2017.11.8,18875
2017.11.9,18780
2017.11.10,18635
2017.11.13,18480
2017.11.14,18425
2017.11.15,18255
2017.11.16,18470
2017.11.17,18460
2017.11.20,18280
2017.11.21,18385
2017.11.22,18560
2017.11.23,18485
2017.11.24,18550
2017.11.27,17920
2017.11.28,18035
2017.11.29,18035
2017.11.30,17395
2017.12.1,17425
2017.12.4,17750
2017.12.5,17875
2017.12.6,17370
2017.12.7,17265
2017.12.8,17335
2017.12.11,17380
2017.12.12,17250
2017.12.13,17500
2017.12.14,17610
2017.12.15,17520
2017.12.18,17585
2017.12.19,17585
2017.12.20,17520
2017.12.21,16840
2017.12.22,16985
2017.12.26,16850
2017.12.27,17200
2017.12.28,17650
2018.1.2,17800
2018.1.3,17925
2018.1.4,17665
2018.1.5,18110
2018.1.8,18360
2018.1.9,18255
2018.1.10,17990
2018.1.11,17815
2018.1.12,17890
2018.1.15,17955
2018.1.16,18250
2018.1.17,18145
2018.1.18,18140
2018.1.19,18175
2018.1.22,17805
2018.1.23,18295
2018.1.24,18355
2018.1.25,18690
2018.1.26,18805
2018.1.29,19095
2018.1.30,18605
2018.1.31,18680
2018.2.1,18610
2018.2.2,17905
2018.2.5,17495
2018.2.6,16945
2018.2.7,16120
2018.2.8,16370
2018.2.9,15540
2018.2.12,15870
2018.2.13,16120
2018.2.14,16505
2018.2.19,16700
2018.2.20,16270
2018.2.21,16475
2018.2.22,16265
2018.2.23,16740
2018.2.26,16785
2018.2.27,16710
2018.2.28,16290
2018.3.2,15855
2018.3.5,15425
2018.3.6,16045
2018.3.7,16070
2018.3.8,16390
2018.3.9,16765
2018.3.12,17080
2018.3.13,17255
2018.3.14,17215
2018.3.15,17335
2018.3.16,17255
2018.3.19,17015
2018.3.20,17165
2018.3.21,17190
2018.3.22,17335
2018.3.23,16150
2018.3.26,16425
2018.3.27,16585
2018.3.28,16140
2018.3.29,16430
2018.3.30,16500
2018.4.2,16435
2018.4.3,16330
2018.4.4,15825
2018.4.5,16300
2018.4.6,16130
2018.4.9,16335
2018.4.10,16375
2018.4.11,16265
2018.4.12,16275
2018.4.13,16455
2018.4.16,16475
2018.4.17,16445
2018.4.18,16800
2018.4.19,16985
2018.4.20,16750
2018.4.23,16730
2018.4.24,16570
2018.4.25,16335
2018.4.26,16760
2018.4.27,17055
2018.4.30,17200
2018.5.2,16985
2018.5.3,16895
2018.5.4,16640
2018.5.8,16490
2018.5.9,16405
2018.5.10,16595
2018.5.11,16790
2018.5.14,16705
2018.5.15,16430
2018.5.16,16535
2018.5.17,16380
2018.5.18,16490
2018.5.21,16555
2018.5.23,16760
2018.5.24,16650
2018.5.25,16715
2018.5.28,16855
2018.5.29,16535
2018.5.30,15825
2018.5.31,15955
2018.6.1,16125
2018.6.4,16320
2018.6.5,16395
2018.6.7,16660
2018.6.8,16335
2018.6.11,16600
2018.6.12,16565
2018.6.14,16020
2018.6.15,15800
2018.6.18,15420
2018.6.19,15020
2018.6.20,15270
2018.6.21,14955
2018.6.22,15180
2018.6.25,15200
2018.6.26,15160
2018.6.27,15050
2018.6.28,14750
2018.6.29,14815
2018.7.2,14175
2018.7.3,14215
2018.7.4,14130
2018.7.5,14050
2018.7.6,14240
2018.7.9,14455
2018.7.10,14510
2018.7.11,14340
2018.7.12,14435
2018.7.13,14725
2018.7.16,14630
2018.7.17,14595
2018.7.18,14520
2018.7.19,14470
2018.7.20,14595
2018.7.23,14365
2018.7.24,14450
2018.7.25,14390
2018.7.26,14560
2018.7.27,14650
2018.7.30,14590
2018.7.31,14635
2018.8.1,14740
2018.8.2,14225
2018.8.3,14420
2018.8.6,14395
2018.8.7,14585
2018.8.8,14575
2018.8.9,14570
2018.8.10,14245
2018.8.13,13880
2018.8.14,14005
2018.8.16,13720
2018.8.17,13715
2018.8.20,13740
2018.8.21,14035
2018.8.22,14140
2018.8.23,14245
2018.8.24,14370
2018.8.27,14515
2018.8.28,14535
2018.8.29,14605
2018.8.30,14630
2018.8.31,14735
2018.9.3,14555
2018.9.4,14700
2018.9.5,14310
2018.9.6,14255
2018.9.7,14105
2018.9.10,14155
2018.9.11,14080
2018.9.12,14040
2018.9.13,14085
2018.9.14,14535
2018.9.17,14295
2018.9.18,14430
2018.9.19,14440
2018.9.20,14700
2018.9.21,14830
2018.9.27,15055
2018.9.28,14885
2018.10.1,14845
2018.10.2,14480
2018.10.4,14015
2018.10.5,13980
2018.10.8,13860
2018.10.10,13670
2018.10.11,12550
2018.10.12,12810
2018.10.15,12605
2018.10.16,12555
2018.10.17,12870
2018.10.18,12630
2018.10.19,12730
2018.10.22,12795
2018.10.23,12185
2018.10.24,12070
2018.10.25,11700
2018.10.26,11320
2018.10.29,11110
2018.10.30,11310
2018.10.31,11365
2018.11.1,11295
2018.11.2,12115
2018.11.5,11880
2018.11.6,12020
2018.11.7,11920
2018.11.8,12125
2018.11.9,11975
2018.11.12,12040
2018.11.13,11855
2018.11.14,11785
2018.11.15,12025
2018.11.16,12005
2018.11.19,12090
2018.11.20,11850
2018.11.21,11750
2018.11.22,11710
2018.11.23,11550
2018.11.26,11880
2018.11.27,12060
2018.11.28,12190
2018.11.29,12245
2018.11.30,12020
2018.12.3,12435
2018.12.4,12150
2018.12.5,12000
2018.12.6,11645
2018.12.7,11740
2018.12.10,11485
2018.12.11,11430
2018.12.12,11750
2018.12.13,11875
2018.12.14,11475
2018.12.17,11555
2018.12.18,11465
2018.12.19,11625
2018.12.20,11375
2018.12.21,11370
2018.12.24,11360
2018.12.26,11030
2018.12.27,11340
2018.12.28,11445
2019.1.2,11160
2019.1.3,10935
2019.1.4,11115
2019.1.7,11445
2019.1.8,11270
2019.1.9,11735
2019.1.10,11740
2019.1.11,11910
2019.1.14,11685
2019.1.15,12150
2019.1.16,12255
2019.1.17,12310
2019.1.18,12505
2019.1.21,12515
2019.1.22,12380
2019.1.23,12515
2019.1.24,12720
2019.1.25,13210
2019.1.28,13195
2019.1.29,13320
2019.1.30,13660
2019.1.31,13625
2019.2.1,13565
2019.2.7,13570
2019.2.8,13195
2019.2.11,13210
2019.2.12,13390
2019.2.13,13505
2019.2.14,13750
2019.2.15,13400
2019.2.18,13605
2019.2.19,13475
2019.2.20,13795
2019.2.21,13790
2019.2.22,13810
2019.2.25,13860
2019.2.26,13755
2019.2.27,13860
2019.2.28,13390
2019.3.4,13260
2019.3.5,13050
2019.3.6,12980
2019.3.7,12895
2019.3.8,12550
2019.3.11,12550
2019.3.12,12815
2019.3.13,12615
2019.3.14,12700
2019.3.15,12975
2019.3.18,12995
2019.3.19,12985
2019.3.20,13010
2019.3.21,13180
2019.3.22,13245
2019.3.25,12710
2019.3.26,12725
2019.3.27,12735
2019.3.28,12565
2019.3.29,12680
2019.4.1,13060
2019.4.2,13160
2019.4.3,13555
2019.4.4,13595
2019.4.5,13650
2019.4.8,13580
2019.4.9,13635
2019.4.10,13760
2019.4.11,13705
2019.4.12,13765
2019.4.15,13885
2019.4.16,14005
2019.4.17,13980
2019.4.18,13530
2019.4.19,13535
2019.4.22,13520
2019.4.23,13580
2019.4.24,13285
2019.4.25,13240
2019.4.26,13075
2019.4.29,13595
2019.4.30,13415
2019.5.2,13530
2019.5.3,13295
2019.5.7,13070
2019.5.8,12950
2019.5.9,12210
2019.5.10,12225
2019.5.13,11930
2019.5.14,11900
2019.5.15,12000
2019.5.16,11675
2019.5.17,11515
2019.5.20,11565
2019.5.21,11690
2019.5.22,11720
2019.5.23,11685
2019.5.24,11525
2019.5.27,11540
2019.5.28,11575
2019.5.29,11240
2019.5.30,11455
2019.5.31,11405
2019.6.3,11800
2019.6.4,11755
2019.6.5,11775
2019.6.7,11790
2019.6.10,12125
2019.6.11,12255
2019.6.12,12170
2019.6.13,11985
2019.6.14,11975
2019.6.17,11985
2019.6.18,12095
